Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"QUICK_APPROVE_OPINION = ""Duyệt nhanh có điều kiện""",,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.000s,PASSED
auto5 = DataTest.getUserTest5(),,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,PASSED
auto6 = DataTest.getUserTest6(),,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,PASSED
"document = DataTest.createDocumentTest(auto5, auto6, null, ""dummy.pdf"", ""dummy.pdf"")",,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,PASSED
loginScreen.login(auto5),,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,ERROR
Start listener action : afterTest,,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.004s,ERROR
,,,,,,,
Test Cases/IPAPER APP/012 DUYET CHI TIET_NHAP Y KIEN,,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.079s,ERROR
Start listener action : beforeTest,,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.008s,ERROR
"REQUEST_NAME = ""Trình ký PDF có sẵn""",,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,PASSED
"COMMENT = ""Automation approve""",,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,PASSED
auto5 = DataTest.getUserTest5(),,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,PASSED
auto6 = DataTest.getUserTest6(),,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,PASSED
"document = DataTest.createDocumentTest(auto5, auto6, null, ""dummy.pdf"", ""dummy.pdf"")",,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.002s,PASSED
loginScreen.login(auto5),,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,ERROR
Start listener action : afterTest,,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.004s,ERROR
,,,,,,,
Test Cases/IPAPER APP/014 DUYET TAI MAIN FILE_KHÔNG NHAP Y KIEN,,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.071s,ERROR
Start listener action : beforeTest,,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.007s,ERROR
