Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
documentInformationScreen.checkAttachFileName(document),,,,23-05-2025 22:54:39,23-05-2025 22:54:41,1.843s,PASSED
documentInformationScreen.backToHome(),,,,23-05-2025 22:54:41,23-05-2025 22:54:46,4.481s,PASSED
outComingDocument.checkItemInDocument(),,,,23-05-2025 22:54:46,23-05-2025 22:54:46,0.001s,PASSED
homeScreen.logout(),,,,23-05-2025 22:54:46,23-05-2025 22:54:54,7.942s,PASSED
document.setAssigner(auto5),,,,23-05-2025 22:54:54,23-05-2025 22:54:54,0.001s,PASSED
loginScreen.login(auto6),,,,23-05-2025 22:54:54,23-05-2025 22:55:02,8.566s,PASSED
homeScreen.goToIncomingDocument(),,,,23-05-2025 22:55:02,23-05-2025 22:55:02,0.091s,PASSED
inComingDocument.viewInformationDocument(document),,,,23-05-2025 22:55:02,23-05-2025 22:55:09,6.416s,PASSED
documentInformationScreen.checkDocumentTitle(document),,,,23-05-2025 22:55:09,23-05-2025 22:55:09,0.393s,PASSED
documentInformationScreen.checkSender(document),,,,23-05-2025 22:55:09,23-05-2025 22:55:09,0.113s,PASSED
documentInformationScreen.checkStatus(document),,,,23-05-2025 22:55:09,23-05-2025 22:55:09,0.114s,PASSED
documentInformationScreen.checkFinishDate(document),,,,23-05-2025 22:55:09,23-05-2025 22:55:09,0.130s,PASSED
documentInformationScreen.checkPriority(document),,,,23-05-2025 22:55:09,23-05-2025 22:55:10,0.144s,PASSED
documentInformationScreen.checkDescription(document),,,,23-05-2025 22:55:10,23-05-2025 22:55:10,0.163s,PASSED
documentInformationScreen.checkAssigner(document),,,,23-05-2025 22:55:10,23-05-2025 22:55:11,1.435s,PASSED
documentInformationScreen.checkPresentFileName(document),,,,23-05-2025 22:55:11,23-05-2025 22:55:12,1.129s,PASSED
documentInformationScreen.checkAttachFileName(document),,,,23-05-2025 22:55:12,23-05-2025 22:55:14,1.805s,PASSED
documentInformationScreen.backToHome(),,,,23-05-2025 22:55:14,23-05-2025 22:55:19,4.546s,PASSED
inComingDocument.checkItemInDocument(),,,,23-05-2025 22:55:19,23-05-2025 22:55:19,0.000s,PASSED
homeScreen.logout(),,,,23-05-2025 22:55:19,23-05-2025 22:55:27,8.280s,PASSED
document.setAssigner(auto6),,,,23-05-2025 22:55:27,23-05-2025 22:55:27,0.001s,PASSED
loginScreen.login(auto7),,,,23-05-2025 22:55:27,23-05-2025 22:55:36,9.253s,PASSED
homeScreen.goToIncomingDocument(),,,,23-05-2025 22:55:36,23-05-2025 22:55:36,0.096s,PASSED
inComingDocument.goToRelatedDocument(),,,,23-05-2025 22:55:36,23-05-2025 22:55:37,1.123s,PASSED
relatedDocumentScreen.viewInformationDocument(document),,,,23-05-2025 22:55:37,23-05-2025 22:55:46,8.627s,PASSED
documentInformationScreen.checkDocumentTitle(document),,,,23-05-2025 22:55:46,23-05-2025 22:55:51,5.254s,PASSED
documentInformationScreen.checkSender(document),,,,23-05-2025 22:55:51,23-05-2025 22:55:51,0.118s,PASSED
documentInformationScreen.checkStatus(document),,,,23-05-2025 22:55:51,23-05-2025 22:55:52,0.109s,PASSED
documentInformationScreen.checkFinishDate(document),,,,23-05-2025 22:55:52,23-05-2025 22:55:52,0.111s,PASSED
documentInformationScreen.checkPriority(document),,,,23-05-2025 22:55:52,23-05-2025 22:55:52,0.140s,PASSED
documentInformationScreen.checkDescription(document),,,,23-05-2025 22:55:52,23-05-2025 22:55:52,0.159s,PASSED
documentInformationScreen.checkAssigner(document),,,,23-05-2025 22:55:52,23-05-2025 22:55:53,1.343s,PASSED
documentInformationScreen.checkPresentFileName(document),,,,23-05-2025 22:55:53,23-05-2025 22:56:01,7.270s,PASSED
documentInformationScreen.checkAttachFileName(document),,,,23-05-2025 22:56:01,23-05-2025 22:56:02,1.589s,PASSED
documentInformationScreen.checkUserCannotEditDocument(),,,,23-05-2025 22:56:02,23-05-2025 22:56:14,11.651s,PASSED
documentInformationScreen.backToHome(),,,,23-05-2025 22:56:14,23-05-2025 22:56:18,4.471s,PASSED
Start listener action : afterTest,,,,23-05-2025 22:56:18,23-05-2025 22:56:19,0.494s,PASSED
,,,,,,,
Test Cases/IPAPER APP/004 TAO YEU CAU LAY Y KIEN_1 NGUOI,,,,23-05-2025 22:56:19,23-05-2025 22:58:41,2m - 22.160s,PASSED
Start listener action : beforeTest,,,,23-05-2025 22:56:19,23-05-2025 22:56:21,2.562s,PASSED
"REQUEST_NAME = ""Trình ký PDF có sẵn""",,,,23-05-2025 22:56:21,23-05-2025 22:56:21,0.000s,PASSED
"USER_CREATE_COMMENT = ""Commented by user create document""",,,,23-05-2025 22:56:21,23-05-2025 22:56:21,0.000s,PASSED
"ASSIGNER_COMMENT = ""Comment by assigner""",,,,23-05-2025 22:56:21,23-05-2025 22:56:21,0.000s,PASSED
"documentTitle = ""Trình ký "" + System.currentTimeMillis()",,,,23-05-2025 22:56:21,23-05-2025 22:56:21,0.001s,PASSED
auto5 = DataTest.getUserTest5(),,,,23-05-2025 22:56:21,23-05-2025 22:56:21,0.000s,PASSED
auto6 = DataTest.getUserTest6(),,,,23-05-2025 22:56:21,23-05-2025 22:56:21,0.001s,PASSED
"document = DataTest.createDocumentTest(auto5, auto6, null, ""dummy.pdf"", ""dummy.pdf"")",,,,23-05-2025 22:56:21,23-05-2025 22:56:21,0.001s,PASSED
loginScreen.login(auto5),,,,23-05-2025 22:56:21,23-05-2025 22:56:29,7.123s,PASSED
homeScreen.openRequestList(),,,,23-05-2025 22:56:29,23-05-2025 22:56:34,5.267s,PASSED
homeScreen.createRequest(REQUEST_NAME),,,,23-05-2025 22:56:34,23-05-2025 22:56:39,5.440s,PASSED
pdfSignScreen.fillInTitle(document.getTitle()),,,,23-05-2025 22:56:39,23-05-2025 22:56:42,2.655s,PASSED
pdfSignScreen.selectPriority(document.getPriority()),,,,23-05-2025 22:56:42,23-05-2025 22:56:44,2.044s,PASSED
pdfSignScreen.selectTime(document.getTime()),,,,23-05-2025 22:56:44,23-05-2025 22:56:47,3.014s,PASSED
pdfSignScreen.fillInDescription(document.getDescription()),,,,23-05-2025 22:56:47,23-05-2025 22:56:49,1.781s,PASSED
pdfSignScreen.selectAssigner(getAssigner().getEmail()),,,,23-05-2025 22:56:49,23-05-2025 22:56:54,5.639s,PASSED
pdfSignScreen.openMainFileBrowser(),,,,23-05-2025 22:56:54,23-05-2025 22:56:59,5.033s,PASSED
fileBrowserScreen.attachFile(document.getMainFileName()),,,,23-05-2025 22:56:59,23-05-2025 22:57:09,9.156s,PASSED
pdfSignScreen.openSubFileBrowser(),,,,23-05-2025 22:57:09,23-05-2025 22:57:09,0.585s,PASSED
fileBrowserScreen.attachFile(document.getSubFileName()),,,,23-05-2025 22:57:09,23-05-2025 22:57:18,9.273s,PASSED
pdfSignScreen.performAction(SEND_WITH_COMENT),,,,23-05-2025 22:57:18,23-05-2025 22:57:21,2.706s,PASSED
pdfSignScreen.fillInOpinion(USER_CREATE_COMMENT),,,,23-05-2025 22:57:21,23-05-2025 22:57:22,0.838s,PASSED
pdfSignScreen.submitRequest(),,,,23-05-2025 22:57:22,23-05-2025 22:57:30,8.077s,PASSED
documentInformationScreen.backToHome(),,,,23-05-2025 22:57:30,23-05-2025 22:57:30,0.239s,PASSED
homeScreen.logout(),,,,23-05-2025 22:57:30,23-05-2025 22:57:39,8.926s,PASSED
document.setStatus(WAIT_GET_COMMENT),,,,23-05-2025 22:57:39,23-05-2025 22:57:39,0.001s,PASSED
document.setAssigner(auto5),,,,23-05-2025 22:57:39,23-05-2025 22:57:39,0.000s,PASSED
loginScreen.login(auto6),,,,23-05-2025 22:57:39,23-05-2025 22:57:48,8.903s,PASSED
homeScreen.goToIncomingDocument(),,,,23-05-2025 22:57:48,23-05-2025 22:57:48,0.079s,PASSED
inComingDocument.viewInformationDocument(document),,,,23-05-2025 22:57:48,23-05-2025 22:57:55,6.400s,PASSED
documentInformationScreen.checkDocumentTitle(document),,,,23-05-2025 22:57:55,23-05-2025 22:57:55,0.372s,PASSED
documentInformationScreen.checkSender(document),,,,23-05-2025 22:57:55,23-05-2025 22:57:55,0.109s,PASSED
documentInformationScreen.checkStatus(document),,,,23-05-2025 22:57:55,23-05-2025 22:57:55,0.124s,PASSED
documentInformationScreen.checkCreateDate(),,,,23-05-2025 22:57:55,23-05-2025 22:57:55,0.119s,PASSED
documentInformationScreen.checkFinishDate(document),,,,23-05-2025 22:57:55,23-05-2025 22:57:55,0.120s,PASSED
documentInformationScreen.checkPriority(document),,,,23-05-2025 22:57:55,23-05-2025 22:57:56,0.127s,PASSED
documentInformationScreen.checkDescription(document),,,,23-05-2025 22:57:56,23-05-2025 22:57:56,0.147s,PASSED
documentInformationScreen.checkAssigner(document),,,,23-05-2025 22:57:56,23-05-2025 22:57:57,1.351s,PASSED
documentInformationScreen.checkPresentFileName(document),,,,23-05-2025 22:57:57,23-05-2025 22:57:58,1.160s,PASSED
documentInformationScreen.checkAttachFileName(document),,,,23-05-2025 22:57:58,23-05-2025 22:58:01,2.291s,PASSED
"documentInformationScreen.performAction(document, COMMENT, ASSIGNER_COMMENT)",,,,23-05-2025 22:58:01,23-05-2025 22:58:10,9.463s,PASSED
documentInformationScreen.backToHome(),,,,23-05-2025 22:58:10,23-05-2025 22:58:10,0.210s,PASSED
document.setSender(auto6),,,,23-05-2025 22:58:10,23-05-2025 22:58:10,0.001s,PASSED
inComingDocument.checkItemInDocument(),,,,23-05-2025 22:58:10,23-05-2025 22:58:10,0.001s,PASSED
homeScreen.goToOutComingDocument(),,,,23-05-2025 22:58:10,23-05-2025 22:58:20,9.913s,PASSED
outComingDocument.viewInformationDocument(document),,,,23-05-2025 22:58:20,23-05-2025 22:58:21,1.141s,PASSED
documentInformationScreen.checkDocumentTitle(document),,,,23-05-2025 22:58:21,23-05-2025 22:58:26,4.806s,PASSED
documentInformationScreen.checkSender(document),,,,23-05-2025 22:58:26,23-05-2025 22:58:26,0.094s,PASSED
documentInformationScreen.checkStatus(document),,,,23-05-2025 22:58:26,23-05-2025 22:58:26,0.113s,PASSED
