Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
documentInformationScreen.checkDescription(document),,,,18-05-2025 14:24:02,18-05-2025 14:24:02,0.157s,PASSED
documentInformationScreen.checkAssigner(document),,,,18-05-2025 14:24:02,18-05-2025 14:24:04,1.449s,PASSED
documentInformationScreen.checkPresentFileName(document),,,,18-05-2025 14:24:04,18-05-2025 14:24:05,1.159s,PASSED
documentInformationScreen.checkAttachFileName(document),,,,18-05-2025 14:24:05,18-05-2025 14:24:07,1.799s,PASSED
documentInformationScreen.backToHome(),,,,18-05-2025 14:24:07,18-05-2025 14:24:11,4.509s,PASSED
homeScreen.logout(),,,,18-05-2025 14:24:11,18-05-2025 14:24:19,8.192s,PASSED
loginScreen.login(auto6),,,,18-05-2025 14:24:19,18-05-2025 14:24:29,9.127s,PASSED
document.setAssigner(auto5),,,,18-05-2025 14:24:29,18-05-2025 14:24:29,0.001s,PASSED
homeScreen.goToIncomingDocument(),,,,18-05-2025 14:24:29,18-05-2025 14:24:29,0.064s,PASSED
inComingDocument.viewInformationDocument(document),,,,18-05-2025 14:24:29,18-05-2025 14:24:34,5.518s,PASSED
documentInformationScreen.checkDocumentTitle(document),,,,18-05-2025 14:24:34,18-05-2025 14:24:35,0.363s,PASSED
documentInformationScreen.checkSender(document),,,,18-05-2025 14:24:35,18-05-2025 14:24:35,0.107s,PASSED
documentInformationScreen.checkStatus(document),,,,18-05-2025 14:24:35,18-05-2025 14:24:35,0.117s,PASSED
documentInformationScreen.checkCreateDate(),,,,18-05-2025 14:24:35,18-05-2025 14:24:35,0.125s,PASSED
documentInformationScreen.checkFinishDate(document),,,,18-05-2025 14:24:35,18-05-2025 14:24:35,0.153s,PASSED
documentInformationScreen.checkPriority(document),,,,18-05-2025 14:24:35,18-05-2025 14:24:35,0.137s,PASSED
documentInformationScreen.checkDescription(document),,,,18-05-2025 14:24:35,18-05-2025 14:24:35,0.183s,PASSED
documentInformationScreen.checkAssigner(document),,,,18-05-2025 14:24:35,18-05-2025 14:24:37,1.460s,PASSED
documentInformationScreen.checkPresentFileName(document),,,,18-05-2025 14:24:37,18-05-2025 14:24:38,1.182s,PASSED
documentInformationScreen.checkAttachFileName(document),,,,18-05-2025 14:24:38,18-05-2025 14:24:40,1.823s,PASSED
documentInformationScreen.backToHome(),,,,18-05-2025 14:24:40,18-05-2025 14:24:45,5.062s,PASSED
homeScreen.logout(),,,,18-05-2025 14:24:45,18-05-2025 14:24:53,8.225s,PASSED
document.setAssigner(auto6),,,,18-05-2025 14:24:53,18-05-2025 14:24:53,0.000s,PASSED
loginScreen.login(auto7),,,,18-05-2025 14:24:53,18-05-2025 14:25:03,10.110s,PASSED
homeScreen.goToIncomingDocument(),,,,18-05-2025 14:25:03,18-05-2025 14:25:03,0.061s,PASSED
inComingDocument.goToRelatedDocument(),,,,18-05-2025 14:25:03,18-05-2025 14:25:04,1.099s,PASSED
relatedDocumentScreen.viewInformationDocument(document),,,,18-05-2025 14:25:04,18-05-2025 14:25:12,7.228s,PASSED
documentInformationScreen.checkDocumentTitle(document),,,,18-05-2025 14:25:12,18-05-2025 14:25:16,4.525s,PASSED
documentInformationScreen.checkSender(document),,,,18-05-2025 14:25:16,18-05-2025 14:25:16,0.112s,PASSED
documentInformationScreen.checkStatus(document),,,,18-05-2025 14:25:16,18-05-2025 14:25:16,0.108s,PASSED
documentInformationScreen.checkCreateDate(),,,,18-05-2025 14:25:16,18-05-2025 14:25:17,0.131s,PASSED
documentInformationScreen.checkFinishDate(document),,,,18-05-2025 14:25:17,18-05-2025 14:25:17,0.118s,PASSED
documentInformationScreen.checkPriority(document),,,,18-05-2025 14:25:17,18-05-2025 14:25:17,0.139s,PASSED
documentInformationScreen.checkDescription(document),,,,18-05-2025 14:25:17,18-05-2025 14:25:17,0.170s,PASSED
documentInformationScreen.checkAssigner(document),,,,18-05-2025 14:25:17,18-05-2025 14:25:18,1.443s,PASSED
documentInformationScreen.checkPresentFileName(document),,,,18-05-2025 14:25:18,18-05-2025 14:25:19,1.095s,PASSED
documentInformationScreen.checkAttachFileName(document),,,,18-05-2025 14:25:19,18-05-2025 14:25:21,1.764s,PASSED
documentInformationScreen.checkUserCannotEditDocument(),,,,18-05-2025 14:25:21,18-05-2025 14:25:33,11.590s,PASSED
Start listener action : afterTest,,,,18-05-2025 14:25:33,18-05-2025 14:25:33,0.485s,PASSED
,,,,,,,
Test Cases/IPAPER APP/037 LAY Y KIEN NHANH_KHONG NHAP Y KIEN,,,,18-05-2025 14:25:33,18-05-2025 14:27:26,1m - 53.061s,ERROR
Start listener action : beforeTest,,,,18-05-2025 14:25:33,18-05-2025 14:25:35,2.031s,PASSED
"REQUEST_NAME = ""Trình ký PDF có sẵn""",,,,18-05-2025 14:25:35,18-05-2025 14:25:35,0.002s,PASSED
"USER_CREATE_COMMENT = ""Commented by user create document""",,,,18-05-2025 14:25:35,18-05-2025 14:25:35,0.000s,PASSED
"ASSIGNER_COMMENT = ""Không có bình luận""",,,,18-05-2025 14:25:35,18-05-2025 14:25:35,0.000s,PASSED
"documentTitle = ""Trình ký "" + System.currentTimeMillis()",,,,18-05-2025 14:25:35,18-05-2025 14:25:35,0.001s,PASSED
"auto5 = DataTest.getUserTest(""auto5"")",,,,18-05-2025 14:25:35,18-05-2025 14:25:35,0.001s,PASSED
"auto6 = DataTest.getUserTest(""auto6"")",,,,18-05-2025 14:25:35,18-05-2025 14:25:35,0.001s,PASSED
"document = DataTest.createDocumentTest(auto5, auto6, null, ""dummy.pdf"", ""dummy.pdf"")",,,,18-05-2025 14:25:35,18-05-2025 14:25:35,0.002s,PASSED
loginScreen.login(auto5),,,,18-05-2025 14:25:35,18-05-2025 14:25:44,8.299s,PASSED
homeScreen.openRequestList(),,,,18-05-2025 14:25:44,18-05-2025 14:25:49,5.265s,PASSED
homeScreen.createRequest(REQUEST_NAME),,,,18-05-2025 14:25:49,18-05-2025 14:25:52,3.342s,PASSED
pdfSignScreen.fillInTitle(document.getTitle()),,,,18-05-2025 14:25:52,18-05-2025 14:25:55,2.867s,PASSED
pdfSignScreen.selectPriority(document.getPriority()),,,,18-05-2025 14:25:55,18-05-2025 14:25:57,1.870s,PASSED
pdfSignScreen.selectTime(document.getTime()),,,,18-05-2025 14:25:57,18-05-2025 14:26:00,3.202s,PASSED
pdfSignScreen.fillInDescription(document.getDescription()),,,,18-05-2025 14:26:00,18-05-2025 14:26:02,1.783s,PASSED
pdfSignScreen.selectAssigner(getAssigner().getEmail()),,,,18-05-2025 14:26:02,18-05-2025 14:26:07,4.884s,PASSED
pdfSignScreen.openMainFileBrowser(),,,,18-05-2025 14:26:07,18-05-2025 14:26:12,5.482s,PASSED
fileBrowserScreen.attachFile(document.getMainFileName()),,,,18-05-2025 14:26:12,18-05-2025 14:26:18,5.985s,PASSED
pdfSignScreen.openSubFileBrowser(),,,,18-05-2025 14:26:18,18-05-2025 14:26:20,1.527s,PASSED
fileBrowserScreen.attachFile(document.getSubFileName()),,,,18-05-2025 14:26:20,18-05-2025 14:26:26,6.246s,PASSED
pdfSignScreen.performAction(SEND_WITH_COMENT),,,,18-05-2025 14:26:26,18-05-2025 14:26:30,4.029s,PASSED
pdfSignScreen.fillInOpinion(USER_CREATE_COMMENT),,,,18-05-2025 14:26:30,18-05-2025 14:26:31,0.785s,PASSED
pdfSignScreen.submitRequest(),,,,18-05-2025 14:26:31,18-05-2025 14:26:38,7.239s,PASSED
documentInformationScreen.backToHome(),,,,18-05-2025 14:26:38,18-05-2025 14:26:38,0.195s,PASSED
homeScreen.logout(),,,,18-05-2025 14:26:38,18-05-2025 14:26:47,8.413s,PASSED
document.setStatus(WAIT_GET_COMMENT),,,,18-05-2025 14:26:47,18-05-2025 14:26:47,0.001s,PASSED
document.setAssigner(auto5),,,,18-05-2025 14:26:47,18-05-2025 14:26:47,0.000s,PASSED
loginScreen.login(auto6),,,,18-05-2025 14:26:47,18-05-2025 14:26:56,8.816s,PASSED
homeScreen.goToIncomingDocument(),,,,18-05-2025 14:26:56,18-05-2025 14:26:56,0.076s,PASSED
